Temperature(°C),Resistance
28.93,46.71
,
0,46.64
,
28.93,46.61
,
28.93,46.54
,
28.93,46.47
,
28.93,46.47
,
28.93,46.4
,
28.93,46.37
,
28.93,46.3
,
28.93,46.27
,
28.93,46.23
,
28.93,46.2
,
28.93,46.13
,
28.93,46.06
,
28.93,46.03
,
28.93,45.99
,
28.93,45.96
,
28.93,45.93
,
28.93,45.82
,
28.93,45.79
,
28.93,45.72
,
28.93,45.69
,
28.93,45.65
,
28.93,45.59
,
28.93,45.59
,
28.93,45.52
,
28.93,45.45
,
28.93,45.42
,
28.93,45.38
,
28.93,45.35
,
28.93,45.31
,
28.93,45.28
,
28.65,45.25
,
28.93,45.18
,
28.65,45.11
,
28.93,45.11
,
28.93,45.04
,
28.65,45.01
,
28.65,44.94
,
28.93,44.91
,
28.93,44.87
,
28.65,44.84
,
28.65,44.77
,
28.93,44.73
,
28.93,44.7
,
28.93,44.67
,
28.65,44.63
,
28.65,44.6
,
28.93,44.53
,
28.65,44.5
,
28.93,44.46
,
28.93,44.43
,
28.65,44.39
,
28.93,44.33
,
28.65,44.29
,
28.65,44.26
,
28.65,44.19
,
28.65,44.19
,
28.65,44.12
,
28.65,44.05
,
28.65,43.99
,
28.65,43.95
,
28.65,43.95
,
28.65,43.88
,
28.65,43.82
,
28.65,43.82
,
28.65,43.78
,
28.65,43.71
,
28.65,43.71
,
28.65,43.68
,
28.65,43.61
,
28.65,43.58
,
28.65,43.54
,
28.65,43.51
,
28.65,43.48
,
28.65,43.44
,
28.65,43.37
,
28.65,43.34
,
28.65,43.31
,
28.65,43.24
,
28.65,43.24
,
28.65,43.17
,
28.65,43.14
,
28.65,43.14
,
28.65,43.07
,
28.65,43.07
,
28.65,43
,
28.65,42.97
,
28.65,42.93
,
28.65,42.9
,
28.65,42.83
,
28.38,42.8
,
28.65,42.76
,
28.65,42.73
,
28.65,42.66
,
28.65,42.66
,
28.65,42.63
,
28.65,42.63
,
28.38,42.52
,
28.65,42.49
,
28.65,42.46
,
28.65,42.42
,
28.38,42.39
,
28.38,42.35
,
28.65,42.35
,
28.38,42.29
,
28.38,42.25
,
28.65,42.22
,
28.65,42.15
,
28.65,42.15
,
28.38,42.12
,
28.38,42.08
,
28.65,42.05
,
28.65,42.01
,
28.38,41.95
,
28.38,41.91
,
28.38,41.88
,
28.38,41.84
,
28.38,41.81
,
28.65,41.78
,
28.38,41.74
,
28.38,41.71
,
28.38,41.67
,
28.38,41.64
,
28.65,41.61
,
28.38,41.57
,
28.38,41.54
,
28.38,41.5
,
28.38,41.5
,
28.65,41.47
,
28.38,41.44
,
28.38,41.4
,
28.38,41.37
,
28.38,41.33
,
28.38,41.3
,
28.38,41.27
,
28.38,41.23
,
28.38,41.2
,
28.38,41.16
,
28.38,41.13
,
28.38,41.1
,
28.38,41.06
,
28.65,41.03
,
28.38,40.96
,
28.38,40.96
,
28.38,40.89
,
28.38,40.89
,
28.38,40.86
,
28.38,40.86
,
28.38,40.82
,
28.38,40.79
,
28.38,40.76
,
28.38,40.72
,
28.38,40.69
,
28.38,40.69
,
28.38,40.65
,
28.38,40.59
,
28.38,40.62
,
28.38,40.55
,
28.38,40.55
,
28.38,40.52
,
28.38,40.48
,
28.38,40.45
,
28.38,40.45
,
28.38,40.38
,
28.38,40.35
,
28.38,40.35
,
28.38,40.31
,
28.38,40.28
,
28.38,40.21
,
28.38,40.18
,
28.38,40.18
,
28.38,40.14
,
28.38,40.08
,
28.38,40.08
,
28.38,40.04
,
28.38,40.01
,
28.38,39.97
,
28.38,39.97
,
28.38,39.94
,
28.38,39.91
,
28.38,39.87
,
28.11,39.87
,
28.38,39.8
,
28.38,39.77
,
28.38,39.74
,
28.38,39.67
,
28.38,39.67
,
28.11,39.63
,
28.38,39.6
,
28.38,39.53
,
28.11,39.53
,
28.38,39.5
,
28.38,39.47
,
28.38,39.4
,
28.38,39.4
,
28.38,39.36
,
28.11,39.36
,
28.11,39.3
,
28.11,39.3
,
28.38,39.23
,
28.11,39.19
,
28.38,39.16
,
28.11,39.19
,
28.11,39.13
,
28.11,39.09
,
28.38,39.06
,
28.11,38.99
,
28.11,38.99
,
28.11,38.96
,
28.11,38.92
,
28.11,38.89
,
28.11,38.85
,
28.11,38.85
,
28.11,38.82
,
28.11,38.82
,
28.11,38.75
,
28.11,38.75
,
28.11,38.72
,
28.11,38.72
,
28.11,38.65
,
28.11,38.65
,
28.11,38.58
,
28.11,38.55
,
28.11,38.55
,
28.11,38.51
,
28.11,38.51
,
28.11,38.45
,
28.11,38.41
,
28.11,38.38
,
28.11,38.34
,
28.11,38.34
,
28.11,38.31
,
28.11,38.31
,
28.11,38.24
,
28.11,38.24
,
28.11,38.21
,
28.11,38.21
,
28.11,38.17
,
28.11,38.14
,
28.11,38.14
,
28.11,38.11
,
28.11,38.07
,
28.11,38.07
,
28.11,38.04
,
28.11,37.97
,
28.11,37.94
,
28.11,37.9
,
28.11,37.87
,
28.11,37.87
,
28.11,37.83
,
27.83,37.83
,
28.11,37.8
,
28.11,37.77
,
28.11,37.73
,
28.11,37.73
,
28.11,37.7
,
28.11,37.66
,
28.11,37.63
,
28.11,37.6
,
28.11,37.56
,
28.11,37.56
,
27.83,37.53
,
28.11,37.5
,
27.83,37.46
,
28.11,37.46
,
28.11,37.43
,
28.11,37.39
,
27.83,37.36
,
28.11,37.33
,
27.83,37.33
,
27.83,37.29
,
27.83,37.26
,
27.83,37.22
,
27.83,37.19
,
27.83,37.19
,
27.83,37.16
,
28.11,37.12
,
28.11,37.09
,
27.83,37.09
,
27.83,37.05
,
28.11,37.05
,
27.83,37.02
,
27.83,36.99
,
27.83,36.95
,
27.83,36.95
,
27.83,36.92
,
27.83,36.88
,
27.83,36.85
,
27.83,36.82
,
27.83,36.78
,
27.83,36.75
,
27.83,36.75
,
27.83,36.71
,
27.83,36.68
,
27.83,36.65
,
27.83,36.65
,
27.83,36.58
,
27.83,36.58
,
27.83,36.58
,
27.83,36.54
,
27.83,36.48
,
27.83,36.48
,
27.83,36.48
,
27.83,36.41
,
27.83,36.41
,
27.83,36.38
,
27.83,36.38
,
27.83,36.38
,
27.83,36.34
,
27.83,36.34
,
27.83,36.31
,
27.83,36.27
,
27.83,36.24
,
27.83,36.21
,
27.83,36.21
,
27.83,36.14
,
27.83,36.14
,
27.83,36.1
,
27.83,36.07
,
27.83,36.07
,
27.83,36
,
27.83,36
,
27.83,35.97
,
27.83,35.93
,
27.83,35.93
,
27.83,35.87
,
27.83,35.87
,
27.83,35.87
,
27.83,35.83
,
27.83,35.8
,
27.83,35.8
,
27.83,35.73
,
27.83,35.7
,
27.83,35.73
,
27.83,35.66
,
27.83,35.66
,
27.83,35.66
,
27.83,35.63
,
27.83,35.59
,
27.83,35.56
,
27.56,35.53
,
27.83,35.53
,
27.83,35.49
,
27.56,35.46
,
27.83,35.42
,
27.56,35.42
,
27.83,35.39
,
27.83,35.39
,
27.83,35.32
,
27.83,35.32
,
27.83,35.29
,
27.56,35.29
,
27.83,35.26
,
27.83,35.22
,
27.83,35.22
,
27.83,35.19
,
27.83,35.22
,
27.83,35.15
,
27.83,35.19
,
27.83,35.12
,
27.56,35.12
,
27.83,35.12
,
27.83,35.09
,
27.83,35.09
,
27.83,35.05
,
27.56,35.05
,
27.83,34.98
,
27.83,34.98
,
27.83,34.95
,
27.83,34.92
,
27.56,34.92
,
27.56,34.88
,
27.56,34.88
,
27.83,34.85
,
27.83,34.81
,
27.83,34.81
,
27.83,34.78
,
27.83,34.75
,
27.56,34.71
,
27.83,34.68
,
27.56,34.64
,
27.56,34.68
,
27.83,34.61
,
27.83,34.61
,
27.56,34.58
,
27.56,34.54
,
27.83,34.54
,
27.56,34.51
,
27.56,34.44
,
27.56,34.47
,
27.83,34.41
,
27.83,34.41
,
27.83,34.41
,
27.56,34.37
,
27.56,34.37
,
27.56,34.27
,
27.56,34.27
,
27.56,34.27
,
27.56,34.24
,
27.56,34.24
,
27.56,34.2
,
27.56,34.2
,
27.83,34.2
,
27.83,34.17
,
27.56,34.14
,
27.56,34.17
,
27.56,34.14
,
27.56,34.1
,
27.56,34.07
,
27.56,34.07
,
27.56,34.03
,
27.56,34
,
27.56,34
,
27.56,34
,
27.56,34
,
27.56,33.93
,
27.56,33.93
,
27.83,33.9
,
27.56,33.93
,
27.56,33.86
,
27.56,33.86
,
27.56,33.86
,
27.56,33.8
,
27.56,33.8
,
27.56,33.76
,
27.56,33.73
,
27.56,33.69
,
27.56,33.69
,
27.56,33.66
,
27.56,33.66
,
27.56,33.66
,
27.56,33.63
,
27.56,33.59
,
27.83,33.59
,
27.56,33.56
,
27.56,33.56
,
27.56,33.53
,
27.56,33.53
,
27.56,33.53
,
27.56,33.49
,
27.56,33.46
,
27.56,33.42
,
27.29,33.42
,
27.56,33.42
,
27.56,33.39
,
27.56,33.36
,
27.56,33.36
,
27.56,33.32
,
27.56,33.32
,
27.56,33.32
,
27.56,33.29
,
27.56,33.29
,
27.56,33.25
,
27.29,33.22
,
27.56,33.19
,
27.56,33.19
,
27.56,33.15
,
27.56,33.12
,
27.56,33.15
,
27.56,33.12
,
27.56,33.08
,
27.56,33.05
,
27.56,33.05
,
27.56,33.05
,
27.56,33.02
,
27.56,33.02
,
27.56,33.02
,
27.56,32.98
,
27.56,32.95
,
27.56,32.95
,
27.56,32.91
,
27.56,32.91
,
27.56,32.91
,
27.56,32.85
,
27.56,32.88
,
27.56,32.85
,
27.56,32.85
,
27.56,32.81
,
27.56,32.81
,
27.56,32.75
,
27.56,32.75
,
27.56,32.75
,
27.56,32.71
,
27.56,32.68
,
27.56,32.68
,
27.56,32.64
,
27.29,32.61
,
27.56,32.61
,
27.56,32.58
,
27.56,32.54
,
27.56,32.54
,
27.56,32.54
,
27.29,32.47
,
27.29,32.51
,
27.56,32.47
,
27.56,32.44
,
27.56,32.44
,
27.29,32.41
,
27.29,32.41
,
27.29,32.37
,
27.56,32.34
,
27.29,32.34
,
27.56,32.3
,
27.56,32.27
,
27.56,32.24
,
27.56,32.24
,
27.29,32.24
,
27.29,32.2
,
27.56,32.17
,
27.29,32.2
,
27.56,32.17
,
27.56,32.17
,
27.56,32.17
,
27.29,32.14
,
27.29,32.14
,
27.56,32.14
,
27.29,32.1
,
27.56,32.1
,
27.56,32.07
,
27.56,32.03
,
27.56,32
,
27.56,32.03
,
27.29,32
,
27.29,32
,
27.56,31.97
,
27.29,31.93
,
27.29,31.9
,
27.29,31.9
,
27.29,31.9
,
27.56,31.86
,
27.29,31.86
,
27.29,31.83
,
27.29,31.83
,
27.29,31.8
,
27.29,31.8
,
27.56,31.76
,
27.29,31.76
,
27.56,31.73
,
27.29,31.69
,
27.29,31.69
,
27.56,31.69
,
27.29,31.66
,
27.29,31.66
,
27.56,31.66
,
27.29,31.63
,
27.29,31.59
,
27.29,31.63
,
27.29,31.59
,
27.29,31.56
,
27.29,31.56
,
27.29,31.56
,
27.29,31.52
,
27.29,31.52
,
27.29,31.49
,
27.29,31.46
,
27.29,31.42
,
27.29,31.42
,
27.29,31.42
,
27.29,31.42
,
27.29,31.39
,
27.29,31.36
,
27.29,31.32
,
27.29,31.36
,
27.29,31.32
,
27.29,31.29
,
27.29,31.29
,
27.29,31.29
,
27.29,31.25
,
27.29,31.25
,
27.29,31.25
,
27.29,31.25
,
27.29,31.22
,
27.29,31.19
,
27.29,31.19
,
27.29,31.19
,
27.29,31.15
,
27.29,31.15
,
27.29,31.12
,
27.29,31.12
,
27.29,31.12
,
27.29,31.12
,
27.29,31.08
,
27.29,31.08
,
27.29,31.05
,
27.29,31.02
,
27.29,30.98
,
27.29,31.02
,
27.29,31.02
,
27.29,30.95
,
27.29,30.95
,
27.29,30.95
,
27.29,30.91
,
27.29,30.91
,
27.29,30.88
,
27.29,30.85
,
27.29,30.85
,
27.29,30.81
,
27.29,30.81
,
27.29,30.78
,
27.29,30.78
,
27.29,30.78
,
27.29,30.75
,
27.29,30.75
,
27.29,30.71
,
27.29,30.68
,
27.29,30.71
,
27.29,30.68
,
27.29,30.64
,
27.29,30.64
,
27.29,30.64
,
27.29,30.61
,
27.29,30.61
,
27.29,30.58
,
27.29,30.58
,
27.29,30.54
,
27.29,30.54
,
27.29,30.54
,
27.29,30.54
,
27.29,30.51
,
27.29,30.47
,
27.29,30.47
,
27.29,30.44
,
27.29,30.44
,
27.29,30.41
,
27.02,30.41
,
27.29,30.41
,
27.29,30.37
,
27.29,30.37
,
27.29,30.34
,
27.29,30.34
,
27.29,30.34
,
27.29,30.31
,
27.29,30.31
,
27.29,30.31
,
27.29,30.27
,
27.29,30.27
,
27.02,30.24
,
27.29,30.24
,
27.29,30.2
,
27.29,30.17
,
27.29,30.2
,
27.29,30.2
,
27.29,30.14
,
27.02,30.17
,
27.29,30.14
,
27.29,30.14
,
27.29,30.1
,
27.29,30.1
,
27.29,30.07
,
27.02,30.07
,
27.29,30.03
,
27.29,30.03
,
27.02,30
,
27.29,30
,
27.29,29.97
,
27.29,29.97
,
27.29,29.97
,
27.29,29.93
,
27.02,29.93
,
27.29,29.93
,
27.29,29.9
,
27.02,29.86
,
27.29,29.86
,
27.29,29.86
,
27.29,29.86
,
27.29,29.86
,
27.29,29.83
,
27.02,29.83
,
27.29,29.83
,
27.29,29.8
,
27.29,29.8
,
27.29,29.76
,
27.02,29.76
,
27.02,29.76
